country,shdi,shdi_year
Albania,0.789,2022
Zimbabwe,0.55,2022
Malawi,0.508,2022
Zambia,0.569,2022
Afghanistan,0.462,2022
"Congo, Rep.",0.593,2022
Libya,0.746,2022
St. Lucia,0.725,2022
"Congo, Dem. Rep.",0.481,2022
St. Vincent and the Grenadines,0.772,2022
Kenya,0.601,2022
St. Kitts and Nevis,0.838,2022
Botswana,0.708,2022
Trinidad and Tobago,0.814,2022
Iceland,0.959,2022
Paraguay,0.731,2022
Malaysia,0.807,2022
Guinea-Bissau,0.483,2022
Oman,0.819,2022
Papua New Guinea,0.568,2022
West Bank and Gaza,0.715,2022
Peru,0.762,2022
Guinea,0.471,2022
India,0.644,2022
Philippines,0.71,2022
Bhutan,0.681,2022
Latvia,0.879,2022
Mauritania,0.54,2022
Bahrain,0.888,2022
United Kingdom,0.94,2022
Mozambique,0.461,2022
Costa Rica,0.806,2022
Bangladesh,0.67,2022
Comoros,0.586,2022
Colombia,0.758,2022
Sudan,0.516,2022
Kiribati,0.628,2022
"Bahamas, The",0.82,2022
Croatia,0.878,2022
Sri Lanka,0.78,2022
Kazakhstan,0.802,2022
Cote d'Ivoire,0.534,2022
United States of America,0.927,2022
Brazil,0.76,2022
Tonga,0.739,2022
Guatemala,0.629,2022
Greece,0.893,2022
Grenada,0.793,2022
Norway,0.966,2022
Poland,0.881,2022
Ghana,0.602,2022
Liechtenstein,0.942,2022
Spain,0.911,2022
Cuba,0.764,2022
Myanmar,0.608,2022
United Arab Emirates,0.937,2022
Suriname,0.69,2022
China,0.788,2022
Morocco,0.698,2022
Portugal,0.874,2022
Germany,0.95,2022
Qatar,0.875,2022
Indonesia,0.713,2022
Brunei Darussalam,0.823,2022
Tuvalu,0.653,2022
Lesotho,0.521,2022
"Micronesia, Fed. Sts.",0.634,2022
Sweden,0.952,2022
Czechia,0.895,2022
Namibia,0.61,2022
South Africa,0.717,2022
South Sudan,0.381,2022
Cyprus,0.907,2022
Jordan,0.736,2022
Denmark,0.952,2022
Lao PDR,0.62,2022
North Macedonia,0.765,2022
Georgia,0.814,2022
Luxembourg,0.927,2022
Maldives,0.762,2022
Madagascar,0.487,2022
Andorra,0.884,2022
Angola,0.591,2022
Solomon Islands,0.562,2022
Azerbaijan,0.76,2022
Somalia,0.361,2022
Chile,0.86,2022
Mauritius,0.796,2022
Barbados,0.809,2022
"Korea, Rep.",0.929,2022
Romania,0.827,2022
"Gambia, The",0.495,2022
Russian Federation,0.821,2022
Nigeria,0.548,2022
"Iran, Islamic Rep.",0.78,2022
Burkina Faso,0.438,2022
Moldova,0.763,2022
Bulgaria,0.799,2022
Togo,0.547,2022
Switzerland,0.967,2022
Lithuania,0.879,2022
Austria,0.926,2022
Uruguay,0.83,2022
Djibouti,0.515,2022
Nepal,0.601,2022
Japan,0.92,2022
Jamaica,0.706,2022
Kyrgyz Republic,0.701,2022
Timor-Leste,0.566,2022
Viet Nam,0.726,2022
Gabon,0.693,2022
France,0.91,2022
Rwanda,0.548,2022
Finland,0.942,2022
Antigua and Barbuda,0.826,2022
Dominican Republic,0.766,2022
Slovak Republic,0.855,2022
Slovenia,0.926,2022
Dominica,0.74,2022
Central African Republic,0.387,2022
Chad,0.394,2022
Kosovo,0.757,2022
Belarus,0.801,2022
Liberia,0.487,2022
Argentina,0.849,2022
Niger,0.394,2022
Samoa,0.702,2022
Fiji,0.729,2022
Cabo Verde,0.661,2022
Belize,0.7,2022
Uganda,0.55,2022
Burundi,0.42,2022
Thailand,0.803,2022
"Venezuela, RB",0.699,2022
Ireland,0.95,2022
Sao Tome and Principe,0.613,2022
Ethiopia,0.492,2022
Eswatini,0.61,2022
Iraq,0.673,2022
Montenegro,0.844,2022
Mali,0.41,2022
Uzbekistan,0.727,2022
Ecuador,0.765,2022
Singapore,0.949,2022
Netherlands,0.946,2022
Equatorial Guinea,0.65,2022
New Zealand,0.939,2022
Australia,0.946,2022
Italy,0.906,2022
"Egypt, Arab Rep.",0.728,2022
Sierra Leone,0.458,2022
Canada,0.935,2022
Syrian Arab Republic,0.557,2022
Belgium,0.942,2022
Ukraine,0.734,2022
Saudi Arabia,0.875,2022
Senegal,0.517,2022
Nicaragua,0.669,2022
Israel,0.915,2022
Mongolia,0.741,2022
Kuwait,0.847,2022
Cambodia,0.6,2022
Tanzania,0.532,2022
Cameroon,0.587,2022
Tajikistan,0.679,2022
Estonia,0.899,2022
Vanuatu,0.614,2022
Eritrea,0.493,2022
Serbia,0.805,2022
El Salvador,0.674,2022
Armenia,0.786,2022
Pakistan,0.54,2022
Hungary,0.851,2022
Panama,0.82,2022
Honduras,0.624,2022
Lebanon,0.723,2022
Turkmenistan,0.744,2022
Turkiye,0.855,2022
Bolivia,0.698,2022
Haiti,0.552,2022
Algeria,0.745,2022
"Yemen, Rep.",0.424,2022
Guyana,0.742,2022
Tunisia,0.732,2022
Bosnia and Herzegovina,0.779,2022
Mexico,0.781,2022
Benin,0.504,2022
